Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7432289,9.8011789,9.5768681,23.48
2,5.7478924,9.7852821,9.6319532,23.45
3,5.7420549,9.8051872,9.6361780,23.50
4,5.7415133,9.8070383,9.5616188,23.55
5,5.7478800,9.7853241,9.5471125,23.59
6,5.7441483,9.7980423,9.5305414,23.62
7,5.7412443,9.8079567,9.5104980,23.61
8,5.7449312,9.7953720,9.4924049,23.62
9,5.7477775,9.7856731,9.5549974,23.57
10,5.7407365,9.8096924,9.5437765,23.55
11,5.7433643,9.8007174,9.4633846,23.54
12,5.7472701,9.7874012,9.4625864,23.50
13,5.7444420,9.7970400,9.4459620,23.54
14,5.7410717,9.8085470,9.4224920,23.54
15,5.7450185,9.7950745,9.4244814,23.57
16,5.7476544,9.7860928,9.4806042,23.55
17,5.7405925,9.8101845,9.4474316,23.57
18,5.7440495,9.7983789,9.3761635,23.57
19,5.7475867,9.7863226,9.3758774,23.53
20,5.7442718,9.7976208,9.3617315,23.54
21,5.7401676,9.8116369,9.3369694,23.50
22,5.7474828,9.7866764,9.3591385,23.54
23,5.7460527,9.7915487,9.4017172,23.51
24,5.7406416,9.8100166,9.3507519,23.51
25,5.7459149,9.7920179,9.3018465,23.50
26,5.7460680,9.7914963,9.2964249,23.50
27,5.7432604,9.8010721,9.2792120,23.50
28,5.7403769,9.8109217,9.2543755,23.45
29,5.7485790,9.7829447,9.2877970,23.43
30,5.7444744,9.7969303,9.3211212,23.40
31,5.7398806,9.8126173,9.2627373,23.42
32,5.7476101,9.7862434,9.2157402,23.46
