Samples number,Period [s],g [m/s^2],Velocity [m/s],Temperature [ºC]
1,5.7437391,9.7994385,9.4863586,17.59
2,5.7451181,9.7947350,9.4933777,17.64
3,5.7432413,9.8011379,9.4856415,17.67
4,5.7439623,9.7986765,9.4548922,17.66
5,5.7448897,9.7955132,9.4452305,17.67
6,5.7440147,9.7984982,9.4292927,17.69
7,5.7431908,9.8013096,9.4183817,17.69
8,5.7442656,9.7976418,9.4076128,17.74
9,5.7450647,9.7949171,9.4204254,17.75
10,5.7430792,9.8016911,9.4034338,17.73
11,5.7443609,9.7973166,9.3782940,17.76
12,5.7447410,9.7960205,9.3683624,17.74
13,5.7440090,9.7985172,9.3539257,17.71
14,5.7431803,9.8013458,9.3422985,17.74
15,5.7444110,9.7971468,9.3348064,17.74
16,5.7445259,9.7967548,9.3478889,17.69
17,5.7429051,9.8022842,9.3233986,17.73
18,5.7446580,9.7963037,9.3026123,17.70
19,5.7445669,9.7966137,9.2913437,17.65
20,5.7439294,9.7987890,9.2793503,17.66
21,5.7433681,9.8007050,9.2689285,17.70
22,5.7447762,9.7959003,9.2659273,17.61
23,5.7442207,9.7977953,9.2744827,17.59
24,5.7433572,9.8007421,9.2449694,17.58
25,5.7448382,9.7956896,9.2319212,17.58
26,5.7442813,9.7975883,9.2187290,17.60
27,5.7436552,9.7997246,9.2087269,17.62
28,5.7433281,9.8008413,9.2001572,17.59
29,5.7451200,9.7947283,9.2008324,17.55
30,5.7436209,9.7998419,9.2023668,17.60
31,5.7436676,9.7996826,9.1701717,17.60
32,5.7448702,9.7955809,9.1608677,17.58
